,City,Country,Latitude,Longitude,Hotel Name
33,ukiah,US,39.15,-123.21,Comfort Inn & Suites
43,castro,BR,-24.79,-50.01,Hotel Buganville Express
58,marawi,PH,8.0,124.29,Marawi Resort Hotel
157,letlhakeng,BW,-24.09,25.03,Mimshach Investments
244,presidencia roque saenz pena,AR,-26.79,-60.44,Hotel Gualok
281,ushirombo,TZ,-3.49,31.96,Kigali Hotel
349,namibe,AO,-15.2,12.15,Hotel ibis Styles Iu Namibe
363,lasa,IT,46.62,10.7,Untertelshof
423,cervignano del friuli,IT,45.82,13.34,Villa Rigatti
